Series ID,Year,Period,Label,Value,1-Month Net Change,12-Month Net Change,1-Month % Change,3-Month % Change,6-Month % Change
CXUTOTALEXPLB0401M,2021,A01,2021 Annual,66928,N/A,5596,N/A,N/A,N/A
CXUTOTALEXPLB0401M,2019,A01,2019 Annual,63036,N/A,1812,N/A,N/A,N/A
CXUTOTALEXPLB0401M,2020,A01,2020 Annual,61332,N/A,-1704,N/A,N/A,N/A
CXUTOTALEXPLB0401M,2018,A01,2018 Annual,61224,N/A,1164,N/A,N/A,N/A
CXUTOTALEXPLB0401M,2017,A01,2017 Annual,60060,N/A,2749,N/A,N/A,N/A
CXUTOTALEXPLB0401M,2016,A01,2016 Annual,57311,N/A,1333,N/A,N/A,N/A
CXUTOTALEXPLB0401M,2015,A01,2015 Annual,55978,N/A,2483,N/A,N/A,N/A
CXUTOTALEXPLB0401M,2014,A01,2014 Annual,53495,N/A,2395,N/A,N/A,N/A
CXUTOTALEXPLB0401M,2012,A01,2012 Annual,51442,N/A,1737,N/A,N/A,N/A
CXUTOTALEXPLB0401M,2013,A01,2013 Annual,51100,N/A,-342,N/A,N/A,N/A
CXUTOTALEXPLB0401M,2008,A01,2008 Annual,50486,N/A,848,N/A,N/A,N/A
CXUTOTALEXPLB0401M,2011,A01,2011 Annual,49705,N/A,1596,N/A,N/A,N/A
CXUTOTALEXPLB0401M,2007,A01,2007 Annual,49638,N/A,1240,N/A,N/A,N/A
CXUTOTALEXPLB0401M,2009,A01,2009 Annual,49067,N/A,-1419,N/A,N/A,N/A
CXUTOTALEXPLB0401M,2006,A01,2006 Annual,48398,N/A,1989,N/A,N/A,N/A
CXUTOTALEXPLB0401M,2010,A01,2010 Annual,48109,N/A,-958,N/A,N/A,N/A
CXUTOTALEXPLB0401M,2005,A01,2005 Annual,46409,N/A,3014,N/A,N/A,N/A
CXUTOTALEXPLB0401M,2004,A01,2004 Annual,43395,N/A,2578,N/A,N/A,N/A
CXUTOTALEXPLB0401M,2003,A01,2003 Annual,40817,N/A,140,N/A,N/A,N/A
CXUTOTALEXPLB0401M,2002,A01,2002 Annual,40677,N/A,1159,N/A,N/A,N/A
CXUTOTALEXPLB0401M,2001,A01,2001 Annual,39518,N/A,1473,N/A,N/A,N/A
CXUTOTALEXPLB0401M,2000,A01,2000 Annual,38045,N/A,1050,N/A,N/A,N/A
